Date,Open,High,Low,Close,Adj Close,Volume
2021-06-06,0.129346,0.133345,0.127652,0.130915,0.130915,9246109
2021-06-07,0.130915,0.137871,0.120593,0.122001,0.122001,10178767
2021-06-08,0.121608,0.124069,0.098169,0.114542,0.114542,19052173
2021-06-09,0.114341,0.142514,0.105835,0.134179,0.134179,27406621
2021-06-10,0.134679,0.137582,0.119420,0.123600,0.123600,15755570
2021-06-11,0.123197,0.164347,0.119307,0.138564,0.138564,52117601
2021-06-12,0.138871,0.142159,0.122147,0.127145,0.127145,22637615
2021-06-13,0.126945,0.144629,0.125737,0.139059,0.139059,16880286
2021-06-14,0.138367,0.148775,0.136857,0.147317,0.147317,18008036
2021-06-15,0.140766,0.146178,0.137044,0.142266,0.142266,11643488
2021-06-16,0.140069,0.141961,0.129359,0.131327,0.131327,8073111
2021-06-17,0.131512,0.137854,0.128283,0.134603,0.134603,8572028
2021-06-18,0.133909,0.135448,0.121829,0.127623,0.127623,7024054
2021-06-19,0.127828,0.133614,0.123726,0.130516,0.130516,6497481
2021-06-20,0.130497,0.138916,0.122308,0.133426,0.133426,11679288
2021-06-21,0.133318,0.134522,0.110042,0.113223,0.113223,13444741
2021-06-22,0.113211,0.132921,0.105391,0.125027,0.125027,27189136
2021-06-23,0.125022,0.136422,0.119730,0.128087,0.128087,19170540
2021-06-24,0.133616,0.134593,0.123089,0.129309,0.129309,10489850
2021-06-25,0.129222,0.131625,0.119548,0.123293,0.123293,10359744
2021-06-26,0.123285,0.131547,0.119118,0.131547,0.131547,11724306
2021-06-27,0.131441,0.135077,0.125180,0.134396,0.134396,12602836
2021-06-28,0.134882,0.136820,0.128144,0.132809,0.132809,13296070
2021-06-29,0.132499,0.138005,0.132283,0.133221,0.133221,15704437
2021-06-30,0.132909,0.135141,0.125550,0.133740,0.133740,16328033
2021-07-01,0.133444,0.133444,0.127344,0.131643,0.131643,13546085
2021-07-02,0.132127,0.154213,0.129556,0.147713,0.147713,36779298
2021-07-03,0.147900,0.164100,0.144393,0.162103,0.162103,35202777
2021-07-04,0.163089,0.183879,0.153754,0.169998,0.169998,45057772
2021-07-05,0.169618,0.169618,0.152332,0.162920,0.162920,26391024
2021-07-06,0.162611,0.199446,0.162611,0.187307,0.187307,43228410
2021-07-07,0.187814,0.246876,0.186307,0.203427,0.203427,79003095
2021-07-08,0.204442,0.234196,0.178304,0.202581,0.202581,55431512
2021-07-09,0.202182,0.253660,0.191083,0.250510,0.250510,74983882
2021-07-10,0.251627,0.256936,0.231011,0.244119,0.244119,53800562
2021-07-11,0.243800,0.260063,0.231770,0.258764,0.258764,39295059
2021-07-12,0.258859,0.319259,0.258859,0.316097,0.316097,109576491
2021-07-13,0.315493,0.408798,0.302506,0.346213,0.346213,298300365
2021-07-14,0.345866,0.388569,0.290768,0.332420,0.332420,208381141
2021-07-15,0.331844,0.382774,0.298898,0.307607,0.307607,146858276
2021-07-16,0.307503,0.321496,0.232569,0.253702,0.253702,135557518
2021-07-17,0.252397,0.307127,0.241327,0.267651,0.267651,141004113
2021-07-18,0.267649,0.287502,0.257472,0.270279,0.270279,63131042
2021-07-19,0.270766,0.271962,0.236640,0.252932,0.252932,46669489
2021-07-20,0.252439,0.292121,0.215682,0.282887,0.282887,109193060
2021-07-21,0.283485,0.344960,0.270061,0.335989,0.335989,171740843
2021-07-22,0.336287,0.354471,0.272064,0.280565,0.280565,202353908
2021-07-23,0.279468,0.348346,0.267696,0.335501,0.335501,302230838
2021-07-24,0.334211,0.338799,0.291053,0.303614,0.303614,202306826
2021-07-25,0.303616,0.307998,0.271985,0.282943,0.282943,128916045
2021-07-26,0.282550,0.296341,0.256563,0.264841,0.264841,103767609
2021-07-27,0.264372,0.317947,0.244668,0.285535,0.285535,171123889
2021-07-28,0.285833,0.285833,0.261850,0.265124,0.265124,85259394
2021-07-29,0.265032,0.266220,0.248818,0.255997,0.255997,89373279
2021-07-30,0.256078,0.257077,0.224693,0.241195,0.241195,100092523
2021-07-31,0.241072,0.243036,0.228021,0.229390,0.229390,92395271
2021-08-01,0.229167,0.230284,0.204559,0.207972,0.207972,106006429
2021-08-02,0.208079,0.232227,0.206146,0.216624,0.216624,118586188
2021-08-03,0.216417,0.220673,0.203196,0.207563,0.207563,71611365
2021-08-04,0.208066,0.219481,0.204737,0.215711,0.215711,84690125
2021-08-05,0.215818,0.216727,0.193031,0.200216,0.200216,99425398
2021-08-06,0.200220,0.200621,0.181288,0.181564,0.181564,110211700
2021-08-07,0.180382,0.188403,0.172178,0.177385,0.177385,145491848
2021-08-08,0.177572,0.202157,0.173042,0.186030,0.186030,168359515
2021-08-09,0.187038,0.226928,0.167651,0.207724,0.207724,335148401
2021-08-10,0.206534,0.214994,0.195752,0.202658,0.202658,178322868
2021-08-11,0.202764,0.220228,0.200683,0.202205,0.202205,202913199
2021-08-12,0.202308,0.204368,0.180084,0.189910,0.189910,112511860
2021-08-13,0.190303,0.194754,0.184940,0.191332,0.191332,82177528
2021-08-14,0.191448,0.191448,0.176602,0.179833,0.179833,93857968
2021-08-15,0.179708,0.185901,0.169819,0.176607,0.176607,128834117
2021-08-16,0.176611,0.185786,0.171783,0.173371,0.173371,130611851
2021-08-17,0.173077,0.179466,0.157240,0.160934,0.160934,116810932
2021-08-18,0.160935,0.163933,0.153553,0.157596,0.157596,91343684
2021-08-19,0.157279,0.177023,0.153983,0.174749,0.174749,150737315
2021-08-20,0.174845,0.178353,0.162803,0.167391,0.167391,144568984
2021-08-21,0.167114,0.168641,0.158153,0.158890,0.158890,119610024
2021-08-22,0.158809,0.161754,0.150058,0.154236,0.154236,103635027
2021-08-23,0.154237,0.160168,0.151726,0.155223,0.155223,115306376
2021-08-24,0.155523,0.156320,0.133009,0.139756,0.139756,118573504
2021-08-25,0.139539,0.168234,0.128439,0.159745,0.159745,264872749
2021-08-26,0.160044,0.161750,0.138734,0.142562,0.142562,156987576
2021-08-27,0.141668,0.150693,0.132155,0.145767,0.145767,117923912
2021-08-28,0.146351,0.146644,0.138138,0.139385,0.139385,91231473
2021-08-29,0.139191,0.140881,0.132639,0.136666,0.136666,100406431
2021-08-30,0.136472,0.138443,0.123878,0.124773,0.124773,112334750
2021-08-31,0.124976,0.127547,0.111523,0.113474,0.113474,134096419
2021-09-01,0.113760,0.127167,0.107942,0.120845,0.120845,181539583
2021-09-02,0.120642,0.144265,0.118058,0.138660,0.138660,380581908
2021-09-03,0.138740,0.149514,0.127530,0.129030,0.129030,291737213
2021-09-04,0.129626,0.134438,0.122981,0.125763,0.125763,181839895
2021-09-05,0.126042,0.127561,0.118531,0.119839,0.119839,138265848
2021-09-06,0.119833,0.122743,0.115440,0.116088,0.116088,134111514
2021-09-07,0.115993,0.125440,0.081392,0.095166,0.095166,271373044
