,Date,Open,High,Low,Close,Adj Close,Volume
137,28/12/2020,0.039307,0.040875,0.038574,0.038988,0.038988,5676291
138,29/12/2020,0.038996,0.039738,0.035168,0.037236,0.037236,6896364
139,30/12/2020,0.037237,0.038231,0.035839,0.036105,0.036105,3758876
140,31/12/2020,0.036105,0.036331,0.034505,0.035653,0.035653,3364794
141,1/1/2021,0.035684,0.037918,0.035277,0.037023,0.037023,3923475
142,2/1/2021,0.037028,0.039309,0.036595,0.038141,0.038141,5491259
143,3/1/2021,0.038152,0.041426,0.037237,0.040956,0.040956,6793636
144,4/1/2021,0.041022,0.042418,0.036964,0.040494,0.040494,7083381
145,5/1/2021,0.040443,0.045012,0.039036,0.041762,0.041762,10831507
146,6/1/2021,0.041793,0.047608,0.041009,0.044753,0.044753,13596102
147,7/1/2021,0.044759,0.046199,0.042228,0.043326,0.043326,10414813
148,8/1/2021,0.043418,0.047013,0.040954,0.043545,0.043545,13302777
149,9/1/2021,0.043472,0.047181,0.042271,0.046051,0.046051,8255178
150,10/1/2021,0.046058,0.046641,0.041047,0.042611,0.042611,7576116
151,11/1/2021,0.042551,0.042551,0.034612,0.040682,0.040682,8207441
152,12/1/2021,0.040681,0.040819,0.036719,0.03773,0.03773,5026765
153,13/1/2021,0.037786,0.041198,0.036811,0.040642,0.040642,4997461
154,14/1/2021,0.04065,0.042044,0.039583,0.040774,0.040774,4939743
155,15/1/2021,0.040811,0.04583,0.040075,0.044012,0.044012,10476076
156,16/1/2021,0.044011,0.046641,0.042787,0.043908,0.043908,9332764
157,17/1/2021,0.043939,0.052655,0.042321,0.051067,0.051067,25398598
158,18/1/2021,0.051144,0.054469,0.049183,0.0521,0.0521,14156919
159,19/1/2021,0.052099,0.056984,0.049937,0.054178,0.054178,18747965
160,20/1/2021,0.054166,0.06048,0.048872,0.053627,0.053627,20442884
161,21/1/2021,0.053689,0.147631,0.050989,0.108125,0.108125,424777410
162,22/1/2021,0.108232,0.117998,0.094109,0.108816,0.108816,187029548
163,23/1/2021,0.109406,0.111211,0.09707,0.101897,0.101897,57718715
164,24/1/2021,0.101345,0.102204,0.092952,0.09479,0.09479,38803134
165,25/1/2021,0.095115,0.101558,0.090395,0.092883,0.092883,29079291
166,26/1/2021,0.092873,0.095424,0.087711,0.093046,0.093046,17840698
167,27/1/2021,0.09325,0.093475,0.076333,0.081609,0.081609,38112762
168,28/1/2021,0.081635,0.090233,0.078167,0.0885,0.0885,42899972
169,29/1/2021,0.091257,0.094066,0.082901,0.087839,0.087839,50599792
170,30/1/2021,0.087681,0.091022,0.085042,0.087374,0.087374,26203617
171,31/1/2021,0.087455,0.088424,0.081289,0.082657,0.082657,21891877
172,1/2/2021,0.082765,0.084727,0.077786,0.082507,0.082507,23641803
173,2/2/2021,0.082582,0.098597,0.0824,0.095356,0.095356,66802121
174,3/2/2021,0.095314,0.099687,0.092145,0.097712,0.097712,44160930
175,4/2/2021,0.097414,0.110505,0.090222,0.099797,0.099797,121182041
176,5/2/2021,0.099935,0.142921,0.098627,0.141218,0.141218,192354663
177,6/2/2021,0.140955,0.140955,0.119387,0.128929,0.128929,82336685
178,7/2/2021,0.128598,0.131759,0.110496,0.126764,0.126764,72170033
179,8/2/2021,0.12661,0.145832,0.122487,0.138302,0.138302,99619548
180,9/2/2021,0.139169,0.157812,0.136102,0.150129,0.150129,69208148
181,10/2/2021,0.149781,0.154633,0.134679,0.145873,0.145873,63522797
182,11/2/2021,0.145862,0.169469,0.142396,0.158618,0.158618,112181099
183,12/2/2021,0.158388,0.167096,0.153006,0.162479,0.162479,63012758
184,13/2/2021,0.16249,0.213621,0.162009,0.205011,0.205011,288830067
185,14/2/2021,0.204436,0.286024,0.194149,0.263592,0.263592,680733438
186,15/2/2021,0.263509,0.265956,0.207184,0.239121,0.239121,189931371
187,16/2/2021,0.239881,0.24553,0.218716,0.231569,0.231569,76988455
188,17/2/2021,0.231686,0.261727,0.208276,0.242348,0.242348,174081115
189,18/2/2021,0.241722,0.342429,0.235613,0.320639,0.320639,478342644
190,19/2/2021,0.322591,0.324129,0.277318,0.310206,0.310206,205176803
191,20/2/2021,0.310722,0.322787,0.279882,0.296705,0.296705,80687846
